Comment,Designator,Footprint,LCSC,Quantity
100nF,"C10,C101,C102,C103,C104,C105,C106,C107,C108,C11,C117,C118,C119,C12,C120,C121,C122,C123,C124,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C188,C189,C190,C191,C192,C193,C194,C195,C196,C21,C22,C23,C24,C25,C26,C27,C28,C37,C38,C39,C40,C41,C42,C43,C44,C5,C53,C54,C55,C56,C57,C58,C59,C6,C60,C69,C7,C70,C71,C72,C73,C74,C75,C76,C8,C85,C86,C87,C88,C89,C9,C90,C91,C92",C_0402,C307331,128
4.7nF,"C100,C109,C110,C111,C112,C113,C114,C115,C116,C125,C126,C127,C128,C129,C13,C130,C131,C132,C14,C15,C16,C17,C18,C19,C20,C29,C30,C31,C32,C33,C34,C35,C36,C45,C46,C47,C48,C49,C50,C51,C52,C61,C62,C63,C64,C65,C66,C67,C68,C77,C78,C79,C80,C81,C82,C83,C84,C93,C94,C95,C96,C97,C98,C99",C_0402,C1538,64
"Connector, USB-TYPE-C-16P",J2,TYPE-C-SMD_HX-TYPE-C-16PIN,C2927039,1
10k,R17,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U5,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U68,SOT95P280X100-3N,,1
WS2812B,D23,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R14,R_0402_1005Metric,,1
10k,R7,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U19,SOT95P280X100-3N,,1
WS2812B,D35,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R8,R_0402_1005Metric,,1
WS2812B,D65,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U33,SOT95P280X100-3N,,1
10k,R10,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U65,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U15,SOT95P280X100-3N,,1
~,JP3,Jumper_2_NC_Trace,,1
US5681KSE-AAA-000-RE,U14,SOT95P280X100-3N,,1
10k,R37,R_0402_1005Metric,,1
10k,R50,R_0402_1005Metric,,1
WS2812B,D50,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U49,SOT95P280X100-3N,,1
10k,R58,R_0402_1005Metric,,1
WS2812B,D39,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U17,SOT95P280X100-3N,,1
10k,R24,R_0402_1005Metric,,1
WS2812B,D51,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U60,SOT95P280X100-3N,,1
10k,R63,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U29,SOT95P280X100-3N,,1
10k,R65,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U20,SOT95P280X100-3N,,1
10k,R45,R_0402_1005Metric,,1
WS2812B,D22,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U55,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U51,SOT95P280X100-3N,,1
WS2812B,D13,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R19,R_0402_1005Metric,,1
10k,R44,R_0402_1005Metric,,1
10k,R33,R_0402_1005Metric,,1
10k,R66,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U64,SOT95P280X100-3N,,1
WS2812B,D17,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D21,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U25,SOT95P280X100-3N,,1
WS2812B,D48,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D43,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U62,SOT95P280X100-3N,,1
10k,R35,R_0402_1005Metric,,1
10k,R56,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U12,SOT95P280X100-3N,,1
~,JP1,Jumper_2_NC_Trace,,1
WS2812B,D53,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U16,SOT95P280X100-3N,,1
WS2812B,D32,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D59,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U32,SOT95P280X100-3N,,1
WS2812B,D29,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U35,SOT95P280X100-3N,,1
WS2812B,D34,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R54,R_0402_1005Metric,,1
10k,R34,R_0402_1005Metric,,1
WS2812B,D12,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U36,SOT95P280X100-3N,,1
WS2812B,D55,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U41,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U30,SOT95P280X100-3N,,1
WS2812B,D8,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R60,R_0402_1005Metric,,1
10k,R29,R_0402_1005Metric,,1
10k,R61,R_0402_1005Metric,,1
10k,R23,R_0402_1005Metric,,1
WS2812B,D58,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D7,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U52,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U11,SOT95P280X100-3N,,1
10k,R16,R_0402_1005Metric,,1
WS2812B,D15,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R32,R_0402_1005Metric,,1
10k,R62,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U54,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U22,SOT95P280X100-3N,,1
WS2812B,D3,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R28,R_0402_1005Metric,,1
WS2812B,D52,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D40,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R21,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U63,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U23,SOT95P280X100-3N,,1
WS2812B,D42,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U53,SOT95P280X100-3N,,1
10k,R39,R_0402_1005Metric,,1
10k,R68,R_0402_1005Metric,,1
10k,R41,R_0402_1005Metric,,1
10k,R40,R_0402_1005Metric,,1
WS2812B,D26,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U38,SOT95P280X100-3N,,1
10k,R15,R_0402_1005Metric,,1
10k,R52,R_0402_1005Metric,,1
10k,R30,R_0402_1005Metric,,1
WS2812B,D56,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U28,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U8,SOT95P280X100-3N,,1
WS2812B,D33,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U45,SOT95P280X100-3N,,1
Conn_01x06,J5,1x06,,1
US5681KSE-AAA-000-RE,U6,SOT95P280X100-3N,,1
10k,R46,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U27,SOT95P280X100-3N,,1
WS2812B,D66,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R36,R_0402_1005Metric,,1
WS2812B,D20,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R67,R_0402_1005Metric,,1
WS2812B,D37,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D57,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U26,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U24,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U10,SOT95P280X100-3N,,1
WS2812B,D64,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D19,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D16,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R31,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U57,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U44,SOT95P280X100-3N,,1
10k,R47,R_0402_1005Metric,,1
WS2812B,D54,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R57,R_0402_1005Metric,,1
10k,R43,R_0402_1005Metric,,1
10k,R25,R_0402_1005Metric,,1
WS2812B,D28,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R48,R_0402_1005Metric,,1
10k,R42,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U9,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U47,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U31,SOT95P280X100-3N,,1
WS2812B,D61,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R11,R_0402_1005Metric,,1
10k,R49,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U7,SOT95P280X100-3N,,1
Conn_01x03,J6,1x03,,1
WS2812B,D31,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R9,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U67,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U50,SOT95P280X100-3N,,1
10k,R27,R_0402_1005Metric,,1
WS2812B,D60,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R12,R_0402_1005Metric,,1
WS2812B,D11,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R51,R_0402_1005Metric,,1
10k,R5,R_0402_1005Metric,,1
WS2812B,D9,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D18,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D27,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D47,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U46,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U40,SOT95P280X100-3N,,1
WS2812B,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U21,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U34,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U56,SOT95P280X100-3N,,1
WS2812B,D30,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D14,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R59,R_0402_1005Metric,,1
WS2812B,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D24,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U61,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U13,SOT95P280X100-3N,,1
WS2812B,D25,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D36,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D46,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R38,R_0402_1005Metric,,1
10k,R13,R_0402_1005Metric,,1
WS2812B,D62,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D45,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R22,R_0402_1005Metric,,1
10k,R64,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U42,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U66,SOT95P280X100-3N,,1
10k,R26,R_0402_1005Metric,,1
WS2812B,D41,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R53,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U39,SOT95P280X100-3N,,1
10k,R55,R_0402_1005Metric,,1
10k,R20,R_0402_1005Metric,,1
WS2812B,D63,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
US5681KSE-AAA-000-RE,U48,SOT95P280X100-3N,,1
10k,R18,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U59,SOT95P280X100-3N,,1
WS2812B,D44,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
WS2812B,D49,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
10k,R6,R_0402_1005Metric,,1
US5681KSE-AAA-000-RE,U43,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U37,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U18,SOT95P280X100-3N,,1
US5681KSE-AAA-000-RE,U58,SOT95P280X100-3N,,1
WS2812B,D38,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,,1
~,JP2,Jumper_2_NC_Trace,,1
10k,R3,R_0402_1005Metric,,1
Conn_01x05,J1,1x05,,1
10k,R1,R_0402_1005Metric,,1
10k,R70,R_0402_1005Metric,,1
Arduino_MKR_1000_WiFi_Socket,A1,Arduino_MKR_1000_WiFi_Socket,,1
FRJAE438,J3,AMPHENOL_FRJAE438,,1
CD74HC4067,U2,TSSOP-24_4.4x7.8mm_P0.65mm,,1
CD74HC4067,U3,TSSOP-24_4.4x7.8mm_P0.65mm,,1
0.1uF,C3,C_0402_1005Metric,,1
10k,R69,R_0402_1005Metric,,1
CD74HC4067,U1,TSSOP-24_4.4x7.8mm_P0.65mm,,1
BAT60A,D1,D_SOD-323,,1
10k,R2,R_0402_1005Metric,,1
10k,R4,R_0402_1005Metric,,1
I2C,J4,1x04,,1
0.1uF,C1,C_0402_1005Metric,,1
CD74HC4067,U4,TSSOP-24_4.4x7.8mm_P0.65mm,,1
BSS138,Q1,SOT-23,,1
0.1uF,C4,C_0402_1005Metric,,1
0.1uF,C2,C_0402_1005Metric,,1
BAT60A,D2,D_SOD-323,,1
